N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,3.507561037036661","-2.8650391915335525,4.352643832706456",#,"-1.5198399952563941,1.8256121049765965","-3.1982972437622417,1.1996287361532982",#,"-3.8250924556854105,3.7642778323111323","-2.405566715557831,1.0350982083925764",1,0.01989850566288309,999.991275022792,0.0855844923821559,1.0,1,160.79754416212933,4959,2356,0.7,9.323221848981702e-06,645,869
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,3.507561037036661","-2.8650391915335525,4.352643832706456",#,#,"-3.1982972437622417,1.1996287361532982","-1.2203482794118248,3.11325420532099","-3.8250924556854105,3.7642778323111323",#,0,0.004341681718976172,128.21037953644753,155.06173734873263,1.1155184868686223e-07,1,180.43700509747464,4965,2356,0.6,1.092723813529042e-05,234,943
"-1.3452845581345745,-0.6277190756773812",#,"-3.7994438976778797,1.9479350817247783",#,#,#,#,"-1.5043808918101116,2.070841158094461",#,#,0,0.005042000783013982,128.0734007765004,154.18900497182582,1.1474478880104116e-07,1,180.17568498211682,4965,2368,0.3,1.0907550007228637e-05,270,1074
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,"-1.4227633585833528,2.1524586913212196","-2.6891514116357977,0.5634358546484348","-3.70663807051699,2.715936454190438",0,0.003899433992818871,928.6631320636077,139.35632181103477,1.902683820004586e-07,1,117.6308591054182,4837,2374,0.4,7.189859734068722e-06,212,279
"-1.3452845581345745,-0.6277190756773812","-0.8309544435461265,0.7389942519738115","-1.3282086510378885,3.507561037036661","-3.397406509691031,4.352643832706456",#,#,"-3.1982972437622417,1.1996287361532982","-1.6381447200691852,1.467173333277095","-3.8250924556854105,3.7642778323111323",#,1,0.016698984878735113,999.982985881654,0.1565298887836088,1.0,1,165.10631653287314,4985,2385,0.7,9.844520740992757e-06,567,761
"-1.0650290182907574,-0.6277190756773812",#,#,#,#,"-2.9030375652035745,1.8256121049765965",#,#,#,"-2.405566715557831,1.0350982083925764",1,0.009171070731193436,999.0540642591475,5.3051435619698335,1.0,1,159.69811859537285,4959,2385,0.3,9.219682023301522e-06,725,978
"0.8364239705343662,2.0174925989979497",#,#,#,#,"-1.668031071890809,2.4494484360882565","-1.204590906343127,3.024184074344891",#,#,#,0,0.000346624968675717,995.4964003723535,18.915118441992377,0.004130043962623805,1,127.34247153734837,4999,2386,0.3,0.0002658104499095646,404,520
"0.8364239705343662,2.0174925989979497",#,#,"-1.2032991261487107,1.1388992782655658",#,#,#,#,#,"-0.5605416796896372,3.682945059849199",0,0.061115614014952656,999.9999838715855,0.0002578998626708402,1.0,1,132.36969569146103,4999,2403,0.3,8.044139422687243e-06,216,286
"0.8364239705343662,2.0421701577189117",#,#,#,#,#,"-1.204590906343127,3.024184074344891",#,#,#,1,0.015628879622748667,0.04303281267081645,0.36546012966144015,1.0,1,123.72961117165748,4988,2403,0.2,7.457533612202986e-06,131,586
#,"-0.16747415192637072,2.3444437609055298","-0.26943359500623276,1.9528862770294617",#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,0.0009366549435525301,445.35232725320566,439.33010480096044,6.110055848321245e-10,3,142.87311109798276,4998,2414,0.3,0.0006062130925115336,250,651
"-0.4182848791570907,0.5462583900132446","-1.8301833124631424,1.3991159021723665","-3.438409043855395,2.673593986351743",#,#,#,"-3.14379163245686,3.114795338961407","-1.4227633585833528,2.1524586913212196","-2.6891514116357977,0.5634358546484348",#,0,0.0027073937546795704,827.737375127621,253.6436481548433,9.525330316229626e-09,2,111.3731936089868,4631,2419,0.6,1.3436801472767351e-05,105,140
#,#,"-1.3282086510378885,2.2040950297793107",#,"-1.1466811285651661,2.032575382233453",#,"-2.688300572407724,-0.628052705536899",#,#,#,1,0.0011970726110356004,705.0843178562031,324.0348389390046,2.799248591301755e-09,1,138.20229449016466,4998,2425,0.3,8.604119111890865e-06,283,535
"-1.3452845581345745,-0.6277190756773812","-3.0765979479840495,1.033397710927809","-2.5470715931935533,2.673593986351743","-3.3143499019047233,4.352643832706456",#,#,#,"-3.5599827520805927,4.132161658320153",#,#,1,0.014452815169512287,999.8014882349753,1.392014732554848,1.0,1,162.09312289632584,4985,2425,0.5,9.489806477810347e-06,790,1057
"-1.3452845581345745,0.7965285672625948","-2.139148345923748,1.033397710927809",#,"-2.8650391915335525,4.352643832706456","-1.4090439098314578,3.025182276282406",#,#,#,#,"-3.70663807051699,2.715936454190438",0,0.0005277076168805587,469.1812063020724,389.1473915614392,1.1205452044742776e-09,1,133.97165902852927,4976,2436,0.5,0.00012208978997223046,530,1439
"0.7057881186119959,2.129301946693614","-2.749978066522945,-0.08106528413905045","-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,#,"-3.5599827520805927,4.132161658320153",#,#,1,0.013099643946018574,0.14037816395105485,1.0605931298335731,1.0,1,129.16787866716305,4951,2446,0.5,7.785313375315778e-06,104,389
#,"-0.16747415192637072,2.3444437609055298","-0.26943359500623276,1.9528862770294617",#,"-1.5340655451477128,3.2348192210502162",#,#,#,#,"-3.70663807051699,2.715936454190438",0,0.00023088206690390195,950.2685671982723,135.43543095983935,2.1945148797844036e-07,1,114.17210220484885,4999,2453,0.4,0.0002521878551578604,360,602
#,"-0.16747415192637072,2.3444437609055298","1.9528862770294617,3.0371478867488078",#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,0.021770922886817264,160.00000000000003,237.33333333333331,1.328025167372283e-08,1,82.28,4944,2476,0.3,4.959248314138559e-06,6,42
"-1.5805761328706307,-0.6277190756773812","-1.8143285488884113,0.3312680016555044",#,"-3.397406509691031,1.4385271741408472",#,"-2.9030375652035745,4.397283379862951",#,"-2.093689437498543,1.467173333277095",#,#,1,0.017668507445624308,999.9967116186068,0.03653760288640394,1.0,1,165.46704144226024,4985,2480,0.5,9.762977798832134e-06,682,907
"-1.0650290182907574,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,"-2.935693770748367,2.8757458811901504",#,#,#,"-1.6381447200691852,1.0481723639327476",#,#,1,8.981761840943191e-05,985.497598858261,48.09012465404443,3.8879483421271124e-05,1,145.4708873474462,4985,2480,0.4,0.0006017630229209833,843,1231
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,0.0005131568269243789,187.6019928776405,222.86129662242016,1.8189750214233478e-08,3,116.88861630821853,4998,2503,0.2,0.0008010272412708427,117,505
"0.7057881186119959,2.790691247420027","-2.139148345923748,0.6867593060121407","-2.5470715931935533,2.2040950297793107",#,#,#,#,#,"-2.804617472284662,1.6405851249704564",#,0,0.001905735270721761,955.4504409100851,113.5161479776647,5.305322300240861e-07,1,119.73596949933126,4952,2528,0.4,7.216825533316777e-06,338,451
"0.7258853651651965,2.129301946693614",#,#,"-3.3143499019047233,2.8757458811901504","-4.445156190303621,-0.8475764543999205",#,#,"-3.5599827520805927,4.132161658320153",#,#,0,0.00621058614527304,897.4199764778693,144.70880615884553,1.575887449810078e-07,1,112.18803174254438,4853,2528,0.4,6.7618899767347635e-06,112,144
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943",#,#,#,#,#,"-1.5043808918101116,2.070841158094461","-2.894384842354735,4.044467992384961",#,0,0.011206883485236121,128.00000690174636,153.6001090475923,1.1696135202193041e-07,2,180.18356846822073,4965,2538,0.4,2.181628791446853e-05,246,983
"0.8364239705343662,2.129301946693614",#,"-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,#,#,#,#,1,0.014072531463711735,0.07493042561737737,0.6344527602340339,1.0,1,123.9166543625963,4988,2546,0.3,7.468807234338796e-06,144,607
#,#,#,#,"0.3491978499794215,2.8591372006099096","-1.668031071890809,2.4494484360882565","-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153","-1.7940933216597599,3.3016267288522045",#,1,0.0001684289816805526,723.9296293689343,324.08097904615045,2.797256483362463e-09,1,129.65225308209955,4998,2546,0.5,0.0002553656872488692,371,766
"-1.3452845581345745,-0.6277190756773812","-1.2593021651772336,0.5199730230786963","-1.3282086510378885,3.507561037036661",#,#,"-1.5198399952563941,1.8256121049765965","-3.1982972437622417,1.1996287361532982",#,"-3.8250924556854105,3.7642778323111323",#,1,0.033928056322990764,999.9977164009824,0.02511962242846568,1.0,2,162.4374793278416,4985,2555,0.6,1.9060688487173452e-05,619,824
"0.8364239705343662,2.0174925989979497",#,#,#,#,#,#,#,#,"-1.310575710340586,2.5888445368032094",0,0.0003471435558737825,995.4964003725656,18.915118436670973,0.004130043968433346,1,124.89684956169442,4999,2557,0.2,0.0002589943085031812,400,525
"-0.7697895102747482,-0.6277190756773812",#,#,#,"-2.6571428822818106,0.27111969345375964",#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,6.067531284324426e-05,66.67457495217178,146.26641749001993,1.4937464231725023e-07,1,199.08702031252352,4788,2576,0.3,0.0026979455235149373,48,221
#,#,#,#,"0.3491978499794215,2.8591372006099096",#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153","-1.7940933216597599,3.3016267288522045",#,1,0.00016028514742064337,722.9154470085247,325.7212222240214,2.7275311628374774e-09,1,129.61154150965382,4998,2583,0.4,0.00026813155767178946,380,816
#,#,#,#,"0.3491978499794215,2.8591372006099096","-1.668031071890809,2.4494484360882565","-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153","-1.7940933216597599,3.3016267288522045","-1.628780016474395,2.5000178922660936",0,0.00012890894500048553,621.2827850381466,417.9071206287321,7.845148066527829e-10,1,140.12495047893995,4999,2583,0.6,0.0007304985071490882,357,702
"-0.4182848791570907,0.5462583900132446","-1.8301833124631424,1.3991159021723665","-3.438409043855395,2.673593986351743",#,#,#,#,"-1.4227633585833528,2.1524586913212196",#,#,0,0.0015534797131407081,683.4099703364434,346.70860665553846,1.9960751440261005e-09,1,101.66744341341943,4935,2591,0.4,5.987159467320455e-06,173,231
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,"-3.14379163245686,3.114795338961407","-1.4227633585833528,2.1524586913212196","-2.6891514116357977,0.5634358546484348","-3.70663807051699,2.715936454190438",0,0.011698301589009297,928.6631320636077,139.35632181103477,1.902683820004586e-07,3,117.6308591054182,4837,2591,0.5,2.1569579202206162e-05,193,256
"-1.0501174214842235,0.09720638902325746","-0.8309544435461265,0.7389942519738115","-1.5581219420025219,1.5071468470122296",#,#,"-3.021186398508016,0.6673889940565629",#,#,"-2.3254479866535696,5.480761452428588",#,1,0.008881249655039027,996.3801061792878,16.002394941062363,0.0095296088874754,1,150.1498749562019,4985,2594,0.5,9.382772419907245e-06,516,744
"-1.3452845581345745,0.26563603720624884",#,"-3.438409043855395,2.673593986351743",#,#,"-0.8031763977304599,1.34134417934197","-3.14379163245686,3.114795338961407",#,"-3.8250924556854105,3.7642778323111323",#,0,5.870137903475666e-05,525.5952959994275,434.1736969698674,6.481603377719057e-10,1,120.8676521155102,4982,2614,0.5,0.001083431414887864,490,1322
#,"-2.139148345923748,0.9169197447425943",#,"-2.8650391915335525,4.352643832706456","-2.3191614775926137,3.5373636738785263",#,#,"-1.5043808918101116,2.070841158094461",#,#,0,6.80953428886602e-05,632.7903802593144,414.4676229947301,8.176114185027927e-10,1,132.50786996514526,4965,2614,0.4,0.000989998442686008,766,1733
"0.7057881186119959,1.9069539936287798","-1.0417995909752158,0.7959421676317979",#,#,"-3.286725804481484,0.47818322146424874",#,#,#,#,#,1,0.0017504781346436302,15.4987159051305,54.49707392839188,2.0803388367787783e-05,2,127.1784384199311,4885,2625,0.3,0.00023895660696195945,35,182
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943",#,#,"-2.487645660485879,0.942604785375789","-0.9173579903311417,1.9134091714044656",#,"-1.5043808918101116,-0.2907722447605936","-2.894384842354735,4.044467992384961",#,0,0.01885837676707978,0.12267969595081704,0.9536333371587681,1.0,1,187.57459766750992,4413,2628,0.6,1.146499174977686e-05,48,214
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298",#,#,#,#,#,"-1.4227633585833528,2.1524586913212196",#,#,0,0.0015004871381845517,762.640806563082,296.3240545210956,4.376888297419914e-09,1,106.31456587085111,4941,2630,0.3,6.337278484891758e-06,208,277
"1.1034503496149077,1.5398901147927242",#,#,#,#,#,#,#,#,#,0,0.12757948542421588,999.9998995663723,0.0013859840631239063,1.0,1,122.04823803677589,4936,2641,0.1,7.356192497903042e-06,172,220
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,#,"-2.6891514116357977,1.2960367865271802",#,1,0.04034294422847763,160.0110155500592,160.10180279013366,9.506461394769045e-08,2,116.68843257061734,4998,2646,0.2,1.3030333917092796e-05,95,394
"-0.6277190756773812,0.5462583900132446","0.11592188891091926,5.6566268416007475",#,#,#,#,"-2.721380801010464,3.537206170407803","-2.1407542838823854,1.7344319364713225",#,#,0,0.000819622429558574,834.6459195366696,248.38888738327867,1.0576432191060256e-08,1,99.38750484257262,4982,2653,0.4,9.970575047884017e-05,254,366
"-0.7697895102747482,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-2.6571428822818106,0.27111969345375964",#,#,"-4.599870145348845,1.7344319364713225",#,"-5.661774945572942,-0.9595328828407177",0,0.0001556243508134329,965.8243654256428,107.37535988153977,7.006108162984785e-07,1,130.49757950120505,4837,2653,0.6,0.0006894887070327262,44,87
"-1.3452845581345745,0.6897015154265664",#,#,"-3.397406509691031,4.352643832706456",#,"-1.5198399952563941,1.6970309627683529",#,"-1.6381447200691852,4.132161658320153",#,#,0,5.269776760514001e-05,596.9680544185268,434.620633667003,6.448345469641236e-10,1,118.57061313038112,4982,2656,0.4,0.0011710209149780554,587,1500
#,"-0.6255433318833837,0.22387860687957295","-1.3282086510378885,3.507561037036661",#,#,"-2.9030375652035745,1.8256121049765965","-3.1982972437622417,1.1996287361532982",#,"-3.8250924556854105,3.7642778323111323",#,1,0.0004588079715637281,997.1065307383384,13.366668289071777,0.023436035486092507,1,165.63785527786405,4985,2656,0.5,0.00027183367501995635,405,649
"0.8364239705343662,2.0174925989979497",#,"-3.039725554132545,1.9528862770294617",#,#,"-1.834785147641529,1.596447775674359",#,#,"-2.6891514116357977,0.5634358546484348","-1.310575710340586,2.715936454190438",0,0.0015258890912618164,973.1564078250251,69.79390652981847,6.038269082623075e-06,1,129.76901255968386,4986,2672,0.5,7.821545415216792e-06,227,301
"-1.0322818501580302,0.6887038656031912","0.4280414698030356,1.9979901653229737","-3.039725554132545,1.9528862770294617",#,"-2.5242107029655987,1.4916922580431828",#,#,"-4.355840139357518,-1.538998524281188",#,"-3.70663807051699,2.715936454190438",0,0.06252740892143713,574.464,331.3664,2.5029815716419673e-09,1,121.26233599999999,4708,2687,0.6,7.308823959364407e-06,10,18
"-0.6277190756773812,0.5462583900132446","0.11592188891091926,5.6566268416007475","0.3395210576467127,2.255314050780932",#,"-1.7026802100444878,3.1498692011744565",#,"-2.721380801010464,3.537206170407803","-2.1407542838823854,1.7344319364713225",#,#,0,0.14073949298816546,999.9998037411062,0.002591253972918918,1.0,1,103.47946212262866,4982,2709,0.6,6.236999855124101e-06,109,157
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-2.6571428822818106,0.27111969345375964",#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.005813759032348631,160.24951533235338,161.6048285157185,9.072528401284659e-08,1,180.7295742740011,4965,2755,0.5,1.0949280599975912e-05,150,590
"-1.0650290182907574,-0.6277190756773812","-3.0765979479840495,1.033397710927809","-2.5470715931935533,2.673593986351743","-3.3143499019047233,2.8757458811901504",#,#,"-0.8936974264534276,1.3898410631181024",#,#,#,0,0.004654448996314963,102.40000115792137,143.36002014783764,1.6514283400828022e-07,1,175.99590444423444,4976,2756,0.5,1.0592641013761781e-05,183,716
#,#,"-2.590787679414203,1.8647045082910567",#,#,#,#,"-3.348122950635161,1.635519906807576",#,"-0.3917149222551941,3.16363883249356",0,0.00015902755229960506,912.003483480252,190.5427918419569,3.9814143630282216e-08,1,116.19297315449943,4999,2792,0.3,0.00046840900111290657,663,1372
"0.7258853651651965,1.9069539936287798","-1.0417995909752158,2.569082408720642","-2.590787679414203,-0.2918360876531392",#,#,#,#,#,#,#,1,0.05189291878116379,0.0,0.0,1.0,1,128.36464190935584,4988,2792,0.3,7.736900024112453e-06,24,94
"0.7057881186119959,2.129301946693614","-2.1246985272340293,0.3348877624138742","-2.5470715931935533,1.1318411658612502","-3.3143499019047233,2.1525907624075873",#,#,"-2.688300572407724,3.083994118515716",#,#,#,1,0.011183829339024825,0.3307695077205707,2.2257488465542195,1.0,1,129.58013203333485,4951,2816,0.5,7.810161051679237e-06,79,304
"-0.6277190756773812,0.5462583900132446","0.11592188891091926,5.6566268416007475",#,#,#,#,#,#,#,#,0,0.0029312008331897213,842.1459996327505,235.2076313160386,1.3891302169470301e-08,2,98.87657378108976,4982,2818,0.2,1.1919141512680267e-05,286,399
"0.7057881186119959,2.129301946693614","-2.749978066522945,2.1638612728379445","-0.7002248782791691,2.824834229087795","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716",#,#,#,1,0.006084848478378478,1.0438887064147275,6.366457204772177,1.0,1,126.52230610550869,4951,2842,0.5,7.62585723450008e-06,93,405
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.6867593060121407","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197",#,#,#,#,0,0.01810923391617645,4.0534242409746236e-14,1.3476947752869592e-12,1.0,1,180.65903892788882,4976,2844,0.5,1.0943966393967547e-05,191,740
"-0.4182848791570907,0.5462583900132446","-1.8301833124631424,5.6566268416007475",#,#,#,#,#,"-1.4227633585833528,2.1524586913212196","-3.8298823289464217,1.6995160237367735",#,0,0.002188733207654876,950.7230638326901,125.98326095864918,3.150908361433011e-07,3,106.80870668719687,4982,2850,0.4,0.00028606761638778265,220,299
"-0.6277190756773812,0.5462583900132446",#,"-3.438409043855395,2.673593986351743",#,#,#,"-3.14379163245686,3.114795338961407",#,"-2.6891514116357977,0.5634358546484348",#,0,0.0001332575405633523,965.1112770435764,106.33558857709843,7.355408607172404e-07,1,91.78059137577509,4900,2850,0.4,0.0003630837999317659,286,439
"0.8575267679551999,2.2410643041553975","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743",#,"-2.534703504947092,2.032575382233453",#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.00045398282716332874,979.9378269888853,63.64528464283569,9.575662579912515e-06,1,120.62209367520859,4999,2864,0.5,0.0001721306391812156,319,415
#,"-0.16747415192637072,2.3444437609055298",#,#,#,#,#,#,"-2.6891514116357977,0.5634358546484348","-3.70663807051699,2.715936454190438",1,2.234959733367391e-06,680.1954745110277,378.8496232848231,1.2813438869803548e-09,1,136.6092382610456,4988,2868,0.3,0.027472506793997386,295,697
"-0.4182848791570907,0.1404095828905907",#,#,#,#,#,#,"-3.4081294620473215,6.497773756159112",#,#,1,0.0004373704712956908,195.87399309816774,236.44516751568415,1.3531557536418795e-08,1,124.00763139133684,4998,2868,0.2,0.00011780680483724908,89,341
"0.8364239705343662,2.0174925989979497",#,"-1.3282086510378885,3.507561037036661",#,"0.3491978499794215,2.8591372006099096","-2.9030375652035745,2.4494484360882565",#,"-3.6449694757009183,2.963774313516624",#,#,0,0.036530570430829065,1000.0,0.0,1.0,1,146.43913996857208,4999,2872,0.5,9.104145922020758e-06,144,192
"0.587462442242777,2.713385973477227","-0.6255433318833837,0.22387860687957295",#,#,#,#,"-3.1982972437622417,1.1996287361532982",#,"-3.8250924556854105,3.7642778323111323",#,1,0.01863000449655811,88.34441524143483,182.78855385657627,4.900664993912324e-08,1,130.7639742662373,4885,2872,0.4,7.881514571340486e-06,28,106
"-0.7697895102747482,0.31713582709348553","-1.9018047673395806,0.6867593060121407",#,#,#,"-0.8031763977304599,1.34134417934197","-0.39657351934758056,3.240172964044115","-1.668331007981907,4.723732656998995","-3.8250924556854105,3.7642778323111323",#,0,0.00021021414507194,357.3519665807463,421.11857903822386,7.550539590762487e-10,1,122.63468023124771,4698,2888,0.6,0.00047968221980013685,97,266
"-1.3452845581345745,-0.6277190756773812","-4.580884452172818,0.6867593060121407","-1.3282086510378885,2.673593986351743",#,"-2.6571428822818106,0.27111969345375964",#,#,#,#,#,0,0.01424577525391898,160.00228359774178,160.02420615383735,9.529532441085846e-08,2,180.7562576190347,4965,2888,0.4,2.1902581901637333e-05,138,526
#,"-0.16747415192637072,2.3444437609055298","-0.26943359500623276,1.9528862770294617",#,"-3.4047903287495975,1.6987530175323962",#,"-2.2326952932141038,1.9960796874739144",#,"-2.6891514116357977,1.2960367865271802",#,1,0.0002836608777088268,446.48736772816335,440.3388545777866,6.040389696296072e-10,1,142.88548143660356,4998,2943,0.5,0.00022245030327567005,180,417
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,"-0.5443302815317121,6.497773756159112",#,"-3.70663807051699,2.715936454190438",1,0.02706252615209984,200.10385257186996,160.75537394410574,9.314777810586016e-08,1,114.10477342592725,4970,2943,0.3,6.683109474789933e-06,70,291
"-1.3452845581345745,0.31713582709348553","-2.139148345923748,0.6867593060121407",#,"-2.8650391915335525,4.352643832706456","-2.8144999917300884,1.8158580361457548","-0.8031763977304599,1.34134417934197",#,"-1.668331007981907,4.723732656998995","-3.8250924556854105,3.7642778323111323",#,0,0.004097346547287018,240.74740220867162,265.3823677796885,7.596957152594653e-09,1,148.5462725346691,4926,2947,0.7,9.890985146143781e-06,261,893
"-0.7697895102747482,-0.6277190756773812","-1.9018047673395806,0.6867593060121407","-1.3282086510378885,2.673593986351743",#,#,"-0.8031763977304599,1.34134417934197","-0.39657351934758056,3.240172964044115",#,#,#,0,0.008078875766084796,0.7555786372591433,4.495692891691902,1.0,1,200.27350726338778,4698,2947,0.5,1.2071050720254889e-05,30,121
"0.7057881186119959,1.9069539936287798","-1.0417995909752158,0.7959421676317979",#,#,"-3.286725804481484,0.47818322146424874",#,"0.3922272679608583,3.944398251738794",#,#,#,1,0.0036330613088812053,65.536,138.71786666666668,1.9468746668379847e-07,1,138.02867199999997,4885,2956,0.4,8.319378450641516e-06,10,70
"0.7057881186119959,1.9069539936287798","-1.0417995909752158,0.7959421676317979","-1.4428846593604117,1.4691206902036018",#,"-3.286725804481484,0.47818322146424874",#,#,#,#,#,1,0.003842539866791146,63.41787648,143.81429555199998,1.6255102353895337e-07,1,135.5175634158341,4866,2956,0.4,8.168026834056155e-06,21,107
"0.7258853651651965,2.790691247420027","-2.139148345923748,0.6867593060121407",#,"-1.8451193008156566,3.3411771661016703",#,#,#,#,"-2.804617472284662,1.6405851249704564","-2.6062069709946227,2.440101584132641",1,0.007275181668990824,0.8736681434304732,5.586344579129953,1.0,1,129.40333193038077,4951,2961,0.5,7.799504809426995e-06,86,342
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943","-1.3282086510378885,2.547787216094879","-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197","-1.56249970132333,1.820520283227085","-1.5043808918101116,2.070841158094461",#,#,0,0.014979702626796073,2.977131414714809e-13,9.348192642204483e-12,1.0,1,185.6998320629874,4926,2969,0.7,1.132374496800071e-05,171,676
#,"-2.139148345923748,2.3444437609055298","-0.26943359500623276,2.673593986351743",#,"-3.4047903287495975,2.032575382233453",#,#,#,#,#,1,6.211070216006806e-05,673.5254124514653,351.01432973537345,1.8766175267782325e-09,1,148.70291245817037,4998,2971,0.3,0.000643698972265239,587,1190
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,1.9528862770294617","-2.8650391915335525,4.352643832706456",#,#,"-2.2326952932141038,1.9960796874739144",#,"-2.6891514116357977,1.2960367865271802",#,1,0.012253989918493002,999.6114597022508,2.494930965979605,1.0,1,163.7136120855684,4985,2971,0.5,9.680571061202963e-06,576,778
#,#,#,#,"0.3491978499794215,2.8591372006099096","-1.668031071890809,2.4494484360882565",#,"-3.5599827520805927,4.132161658320153","-1.7940933216597599,1.6405851249704564","-1.628780016474395,2.5000178922660936",0,6.493213435641645e-05,611.9184188458801,408.99361450851654,8.73810707633383e-10,1,149.96269228534246,4976,2984,0.5,0.0018990036693509204,280,562
"0.7258853651651965,2.790691247420027","-2.139148345923748,0.6867593060121407",#,#,#,#,"-2.688300572407724,3.083994118515716",#,"-2.804617472284662,3.3016267288522045",#,1,0.022264887844082263,0.3528197740174689,2.5337959908202388,1.0,2,129.26486516826438,4951,2984,0.4,1.5582318052091958e-05,95,402
"-0.7697895102747482,0.5462583900132446",#,#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964","0.594681864269732,3.4254490260053396",#,#,#,#,0,6.93514832772543e-05,578.6584163076176,415.6490929932839,8.060571121424983e-10,1,120.84275955812694,4941,2986,0.4,0.001432739168609004,64,131
#,"0.11592188891091926,4.164287723084228","-3.385416624081514,0.5994328016376627",#,#,#,#,"-2.1407542838823854,3.601269008388594",#,"-3.250193412167351,3.6311364357334637",0,0.0001588125853413835,880.7458579742281,232.39439035468658,1.475270970804644e-08,1,111.97167644058668,4999,2986,0.4,0.00044718682385455865,302,516
#,#,"-0.7008189492478776,1.7513960819639234","-3.397406509691031,2.8757458811901504",#,"-2.9030375652035745,1.6970309627683529",#,"-1.6381447200691852,4.132161658320153",#,#,1,1.005734546430965e-06,855.052427528507,255.32721805315092,9.215405144444547e-09,1,156.21924680104095,4985,2998,0.4,0.04997166169256763,688,1315
"-1.0650290182907574,-0.6277190756773812","-0.8309544435461265,0.7389942519738115",#,#,#,"-2.9030375652035745,1.6970309627683529",#,"-1.6381447200691852,1.467173333277095",#,#,1,0.03412582552005822,999.9999999999998,2.273793777758963e-13,1.0,2,164.71419398554087,4985,2998,0.4,1.9596719860987036e-05,490,663
"-0.6277190756773812,0.5462583900132446","0.11592188891091926,5.6566268416007475",#,#,#,#,#,#,"-5.013341755107744,1.600252353003529",#,0,0.000879622444297167,842.1224693600082,235.37376542795948,1.3842346764796769e-08,1,98.93565143992558,4982,3006,0.3,9.248233137815174e-05,226,320
"0.7057881186119959,2.0174925989979497","-1.6563472195939044,2.1638612728379445",#,"-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716",#,"-5.646474167307332,2.3765744228604415",#,1,0.0494081106523725,0.0346922015319538,0.30186053710439686,1.0,3,127.46795172139949,4988,3008,0.5,2.3048561911073613e-05,101,438
"0.8364239705343662,2.0174925989979497",#,"-1.0301247505809357,1.4220902806308653",#,"0.3491978499794215,2.8591372006099096",#,#,#,#,#,1,0.02552140388632141,0.0,0.0,1.0,1,135.14163799847938,4951,3012,0.3,8.145368745914953e-06,43,166
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197",#,"-1.5043808918101116,2.070841158094461",#,#,0,0.014221928309040838,0.14377948191093678,1.087791210080453,1.0,1,185.96821155576643,4926,3014,0.5,1.1343964956866681e-05,178,695
