N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.6867593060121407",#,"-1.1522263678814095,2.772558905028711",#,#,"-0.63670489214139,2.746315092409025","-2.717787236416353,2.8075559316179857","-3.4655671893539464,4.3406422497282104",#,1,7.052512985640341e-05,970.7971896246252,80.33937295110185,2.987843262199592e-06,1,145.32658059342788,4969,140,0.6,0.0005810054863655418,1308,1854
#,"-0.6006973275933458,0.9169197447425943",#,#,#,"-2.173861242538027,0.44022920865016324",#,#,#,#,0,0.00012979427123080474,550.5485423294848,430.6490705905518,6.751222614301091e-10,1,109.20017399883832,4936,145,0.2,0.0005954914589047563,678,1596
#,#,#,"-2.935693770748367,2.1525907624075873","-0.8559044707711865,1.2357116547542206","-3.411180158287622,0.7062993496914431","-3.748620190296966,2.2562402822800194",#,"-2.3254479866535696,2.3759713396586397","-1.7281656559355292,2.2859434220066137",1,0.00010642255004381238,791.3822292357871,310.06158520383275,3.4894757514290117e-09,1,145.29564687595334,4985,154,0.6,0.0006013485921314262,1407,2452
"-0.6277190756773812,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,"-3.1037910839023297,2.815085708817577",#,"-4.599870145348845,1.7344319364713225","-2.576222742442859,2.0858190058978736",#,0,0.0007224020391565875,876.3914131280183,209.0476623868845,2.504802120517671e-08,2,100.32507269037089,4982,159,0.6,0.0003556919120717036,612,1022
#,"-0.6006973275933458,0.15841836852877933",#,#,"-0.6463766474072175,4.289837408832743","-2.173861242538027,0.44022920865016324",#,#,#,#,0,0.0002055918698591619,416.4402784702015,396.7086840406324,1.0177508250077562e-09,1,127.70966532709652,4936,163,0.3,0.0004499728315413407,258,747
#,"-1.8301833124631424,0.9169197447425943","-1.7844629816357795,1.0509106482028654","-1.9570851872354187,2.141762020489565",#,#,"-0.808362302849295,4.604469672431369",#,"0.5847540940525053,4.054180511422353",#,0,0.00033364256438084044,351.0717679158421,400.73133190181113,9.676838671309534e-10,1,110.29375972897174,4853,163,0.5,0.0002718139517763392,247,555
"-1.7720630163964335,0.6913086943990401","-0.4651447795845649,1.366462031855363","-2.757227967323857,0.38467254141626306","-0.4052416847636229,3.1917058648725876","0.5165371109260288,2.7754825264934686","-2.696280889164232,0.3918287418200668",#,"-5.072201083244265,3.053303575629763","-0.6742739527914051,2.2530545868644043",#,1,6.708881622340243e-05,995.8851518474602,19.109457691643886,0.0039242637458368245,1,176.13470003335465,4436,167,0.8,0.0021587236478093435,103,158
"1.1034503496149077,2.790691247420027","-2.139148345923748,0.6867593060121407",#,#,"-2.4041114878263437,2.69943185845565","-1.5496440072422861,2.9967396161512654",#,#,"-1.8934833439832341,2.7685584043574987",#,0,0.0011312571549137887,966.1195149247059,93.71946677749465,1.383091636159216e-06,1,121.05297909439182,4952,178,0.5,8.798657177609978e-05,549,747
"0.7057881186119959,3.2366494653196742",#,#,"-1.1181890528947045,1.0567094654899807",#,#,"-1.7623960493064572,3.083994118515716",#,"-3.0551562106893164,5.480761452428588",#,1,2.9962484322480692e-05,3.4733074406084308,17.41634984421389,0.006240426907569325,1,123.99514696895965,4988,182,0.4,0.0034027427841091945,191,751
"-0.8616802078676227,0.35313323855206297",#,"-3.245326073274266,1.1318411658612502","0.37685149305805865,2.166952753154164","-1.4856320059327417,2.948594180181122",#,#,#,"-4.465577745901574,3.3406316931805833","-2.059914179306551,3.2157720374174072",1,0.0005773807342753902,877.7741703676269,247.02650270171563,1.0871319279474846e-08,1,141.92522920799166,4985,192,0.6,0.0002021154763883086,402,693
